"","GeoUID","Region Name","PR_UID","province_name","vector","label","csd_value","province_value","diff_from_province","ratio_to_province"
"34","1302037","St. Stephen (TV)","13","New Brunswick","v_CA21_4878","South Asian",0.0144124168514412,0.011126726060778,0.00328569079066327,1.29529717661024
"35","1302037","St. Stephen (TV)","13","New Brunswick","v_CA21_4881","Chinese",0.00332594235033259,0.00526682224313766,-0.00194087989280507,0.631489387109293
"36","1302037","St. Stephen (TV)","13","New Brunswick","v_CA21_4884","Black",0,0.0156715359523472,-0.0156715359523472,0
"37","1302037","St. Stephen (TV)","13","New Brunswick","v_CA21_4887","Filipino",0.00665188470066519,0.00669150732971468,-3.96226290494874e-05,0.994078669110391
"38","1302037","St. Stephen (TV)","13","New Brunswick","v_CA21_4890","Arab",0.00886917960088692,0.00652389731952915,0.00234528228135777,1.35949098621421
"39","1302037","St. Stephen (TV)","13","New Brunswick","v_CA21_4893","Latin American",0,0.00315880403811194,-0.00315880403811194,0
"40","1302037","St. Stephen (TV)","13","New Brunswick","v_CA21_4896","Southeast Asian",0,0.00243679168654349,-0.00243679168654349,0
"41","1302037","St. Stephen (TV)","13","New Brunswick","v_CA21_4899","West Asian",0,0.00117971661015201,-0.00117971661015201,0
"42","1302037","St. Stephen (TV)","13","New Brunswick","v_CA21_1189","Non-official languages",0.0388026607538803,0.0426954268253375,-0.00389276607145721,0.908824753353981
"43","1302037","St. Stephen (TV)","13","New Brunswick","v_CA21_1192","Indigenous languages (33)",0,0.00221116282667836,-0.00221116282667836,0
"44","1302037","St. Stephen (TV)","13","New Brunswick","v_CA21_6087","28. Military science, leadership and operational art",0,0.0001869496267454,-0.0001869496267454,0
"45","1302037","St. Stephen (TV)","13","New Brunswick","v_CA21_4272","Total - Occupied private dwellings by dwelling condition",0.460088691796009,0.435334768762651,0.0247539230333575,1.05686181028847
"46","1302037","St. Stephen (TV)","13","New Brunswick","v_CA21_4288","Total - Owner and tenant households with household total income greater than zero, in non-farm, non-reserve private dwellings by shelter-cost-to-income ratio",2060,332185,-330125,0.0062013636979394
"47","1302037","St. Stephen (TV)","13","New Brunswick","v_CA21_4311","Median value of dwellings ($) (60)",150000,180000,-30000,0.833333333333333
"48","1302037","St. Stephen (TV)","13","New Brunswick","v_CA21_4305","Total - Owner households in non-farm, non-reserve private dwellings",0.277161862527716,0.316015781127113,-0.0388539185993967,0.877050701516174
"49","1302037","St. Stephen (TV)","13","New Brunswick","v_CA21_4313","Total - Tenant households in non-farm, non-reserve private dwellings",0.182926829268293,0.113704052294323,0.0692227769739695,1.60879780075723
"50","1302037","St. Stephen (TV)","13","New Brunswick","v_CA21_4263","Total - Occupied private dwellings by period of construction",0.460088691796009,0.435334768762651,0.0247539230333575,1.05686181028847
"51","1302037","St. Stephen (TV)","13","New Brunswick","v_CA21_560","Median total income in 2020 among recipients ($)",33600,37600,-4000,0.893617021276596
"52","1302037","St. Stephen (TV)","13","New Brunswick","v_CA21_566","Median after-tax income in 2020 among recipients ($)",30800,34000,-3200,0.905882352941176
"53","1302037","St. Stephen (TV)","13","New Brunswick","v_CA21_1040","Prevalence of low income based on the Low-income measure, after tax (LIM-AT) (%)",21,14.2,6.8,1.47887323943662
"54","1302037","St. Stephen (TV)","13","New Brunswick","v_CA21_1010","LIM low-income status in 2020 for the population in private households",0.97450110864745,0.97883601294465,-0.00433490429719996,0.995571368196641
"55","1302037","St. Stephen (TV)","13","New Brunswick","v_CA21_1100","Adjusted after-tax family income decile group for the population in private households",4395,759195,-754800,0.00578902653468476
"56","1302037","St. Stephen (TV)","13","New Brunswick","v_CA21_4404","Total - Immigrant status and period of immigration for the population in private households",0.97450110864745,0.97883601294465,-0.00433490429719996,0.995571368196641
