"","GeoUID","Region Name","PR_UID","province_name","vector","label","csd_value","province_value","diff_from_province","ratio_to_province"
"37","1302037","St. Stephen (TV)","13","New Brunswick","v_CA16_4890","Arab",0.288788221970555,0.31581906157769,-0.027030839607135,0.914410360564999
"38","1302037","St. Stephen (TV)","13","New Brunswick","v_CA16_4893","Latin American",0.161268403171008,0.000991828457847291,0.160276574713161,162.597071998753
"39","1302037","St. Stephen (TV)","13","New Brunswick","v_CA16_4896","Southeast Asian",30.0978482446206,0.227640023825299,29.8702082207953,132.216855976606
"40","1302037","St. Stephen (TV)","13","New Brunswick","v_CA16_4899","West Asian",0.0106908267270668,4.8855247923652e-05,0.0106419714791432,218.826578134939
"41","1302037","St. Stephen (TV)","13","New Brunswick","v_CA16_1189","Non-official languages",0,6.69249971556876e-06,-6.69249971556876e-06,0
"42","1302037","St. Stephen (TV)","13","New Brunswick","v_CA16_1192","Indigenous languages",0,2.00774991467063e-05,-2.00774991467063e-05,0
"43","1302037","St. Stephen (TV)","13","New Brunswick","v_CA16_6087","28. Military science, leadership and operational art",0,0,0,NA
"44","1302037","St. Stephen (TV)","13","New Brunswick","v_CA16_4272","Total - Occupied private dwellings by dwelling condition",0,4.68474980089813e-05,-4.68474980089813e-05,0
"45","1302037","St. Stephen (TV)","13","New Brunswick","v_CA16_4288","Total - Owner and tenant households with household total income greater than zero, in non-farm, non-reserve private dwellings by shelter-cost-to-income ratio",0,35,-35,0
"46","1302037","St. Stephen (TV)","13","New Brunswick","v_CA16_4311","Median value of dwellings ($)",0,85,-85,0
"47","1302037","St. Stephen (TV)","13","New Brunswick","v_CA16_4305","Total - Owner households in non-farm, non-reserve private dwellings",0,0,0,NA
"48","1302037","St. Stephen (TV)","13","New Brunswick","v_CA16_4313","Total - Tenant households in non-farm, non-reserve private dwellings",0,5.35399977245501e-05,-5.35399977245501e-05,0
"49","1302037","St. Stephen (TV)","13","New Brunswick","v_CA16_4263","Total - Occupied private dwellings by period of construction",0.00226500566251416,0.00116449495050896,0.00110051071200519,1.94505408677315
"50","1302037","St. Stephen (TV)","13","New Brunswick","v_CA16_560","Median total income in 2020 among recipients ($)",90,231110,-231020,0.000389424949158409
"51","1302037","St. Stephen (TV)","13","New Brunswick","v_CA16_566","Median after-tax income in 2020 among recipients ($)",0,2165,-2165,0
"52","1302037","St. Stephen (TV)","13","New Brunswick","v_CA16_1040","Prevalence of low income based on the Low-income measure, after tax (LIM-AT) (%)",10,2875,-2865,0.00347826086956522
"53","1302037","St. Stephen (TV)","13","New Brunswick","v_CA16_1010","LIM low-income status in 2020 for the population in private households",0,0.000133849994311375,-0.000133849994311375,0
"54","1302037","St. Stephen (TV)","13","New Brunswick","v_CA16_1100","Adjusted after-tax family income decile group for the population in private households",0,45,-45,0
"55","1302037","St. Stephen (TV)","13","New Brunswick","v_CA16_4404","Total - Immigrant status and period of immigration for the population in private households",0.00566251415628539,0.00897464211857771,-0.00331212796229232,0.630945956559522
"56","1302037","St. Stephen (TV)","13","New Brunswick","v_CA16_4437","Total - Age at immigration for the immigrant population in private households",0,0,0,NA
"57","1302037","St. Stephen (TV)","13","New Brunswick","v_CA16_6582","4 Occupations in education, law and social, community and government services",0,0,0,NA
"58","1302037","St. Stephen (TV)","13","New Brunswick","v_CA16_5847","Bachelor's degree or higher",0.00566251415628539,0.012601976964416,-0.00693946280813059,0.449335383827042
"59","3502036","Clarence-Rockland (C)","35","Ontario","v_CA16_1142","Gini index on adjusted household after-tax income",40,231040,-231000,0.000173130193905817
